Year,Month,Day,Temperature,Date,Radiator_Temperature,Heatloss_kWh_day,COP,Pump_Electricity_kWh_day
2008.0,1.0,1.0,1.0,2008-01-01,39.1,266.67,10.73,24.85
2008.0,1.0,2.0,0.0,2008-01-02,40.0,280.0,10.44,26.82
2008.0,1.0,3.0,-1.5,2008-01-03,41.1,300.0,10.1,29.7
2008.0,1.0,4.0,-1.9,2008-01-04,41.4,305.33,10.02,30.47
2008.0,1.0,5.0,-1.6,2008-01-05,41.1,301.33,10.1,29.83
2008.0,1.0,6.0,0.0,2008-01-06,40.0,280.0,10.44,26.82
2008.0,1.0,7.0,1.3,2008-01-07,38.8,262.67,10.83,24.25
2008.0,1.0,8.0,1.4,2008-01-08,38.7,261.33,10.87,24.04
2008.0,1.0,9.0,1.8,2008-01-09,38.3,256.0,11.01,23.25
2008.0,1.0,10.0,2.4,2008-01-10,37.8,248.0,11.19,22.16
2008.0,1.0,11.0,4.4,2008-01-11,36.0,221.33,11.89,18.61
2008.0,1.0,12.0,3.4,2008-01-12,36.9,234.67,11.53,20.35
2008.0,1.0,13.0,1.9,2008-01-13,38.2,254.67,11.04,23.07
2008.0,1.0,14.0,4.0,2008-01-14,36.4,226.67,11.73,19.32
2008.0,1.0,15.0,3.9,2008-01-15,36.4,228.0,11.73,19.44
2008.0,1.0,16.0,4.4,2008-01-16,36.0,221.33,11.89,18.61
2008.0,1.0,17.0,4.8,2008-01-17,35.6,216.0,12.06,17.91
2008.0,1.0,18.0,2.9,2008-01-18,37.3,241.33,11.37,21.23
2008.0,1.0,19.0,4.0,2008-01-19,36.4,226.67,11.73,19.32
2008.0,1.0,20.0,2.3,2008-01-20,37.9,249.33,11.15,22.36
2008.0,1.0,21.0,1.1,2008-01-21,39.0,265.33,10.76,24.66
2008.0,1.0,22.0,-1.1,2008-01-22,40.8,294.67,10.19,28.92
2008.0,1.0,23.0,-3.8,2008-01-23,42.8,330.67,9.63,34.34
2008.0,1.0,24.0,3.3,2008-01-24,37.0,236.0,11.49,20.54
2008.0,1.0,25.0,3.1,2008-01-25,37.2,238.67,11.41,20.92
2008.0,1.0,26.0,0.9,2008-01-26,39.2,268.0,10.7,25.05
2008.0,1.0,27.0,0.3,2008-01-27,39.7,276.0,10.53,26.21
2008.0,1.0,28.0,0.2,2008-01-28,39.8,277.33,10.5,26.41
2008.0,1.0,29.0,5.1,2008-01-29,35.4,212.0,12.15,17.45
2008.0,1.0,30.0,0.6,2008-01-30,39.4,272.0,10.63,25.59
2008.0,1.0,31.0,-0.4,2008-01-31,40.3,285.33,10.34,27.59
2008.0,2.0,1.0,2.3,2008-01-01,37.9,249.33,11.15,22.36
2008.0,2.0,2.0,0.6,2008-01-02,39.4,272.0,10.63,25.59
2008.0,2.0,3.0,-1.2,2008-01-03,40.8,296.0,10.19,29.05
2008.0,2.0,4.0,2.0,2008-01-04,38.2,253.33,11.04,22.95
2008.0,2.0,5.0,1.8,2008-01-05,38.3,256.0,11.01,23.25
2008.0,2.0,6.0,2.9,2008-01-06,37.3,241.33,11.37,21.23
2008.0,2.0,7.0,1.9,2008-01-07,38.2,254.67,11.04,23.07
2008.0,2.0,8.0,2.8,2008-01-08,37.4,242.67,11.33,21.42
2008.0,2.0,9.0,5.0,2008-01-09,35.4,213.33,12.15,17.56
2008.0,2.0,10.0,2.8,2008-01-10,37.4,242.67,11.33,21.42
2008.0,2.0,11.0,1.3,2008-01-11,38.8,262.67,10.83,24.25
2008.0,2.0,12.0,-0.3,2008-01-12,40.2,284.0,10.38,27.36
2008.0,2.0,13.0,2.4,2008-01-13,37.8,248.0,11.19,22.16
2008.0,2.0,14.0,-0.8,2008-01-14,40.6,290.67,10.25,28.36
