Pressure_kPa,Temperature_C,Position_m,Time,Temperature_K,Volume_m3
100.226,28.41,0.3585,0.0,301.56,0.00551867873492851
100.25,28.39,0.3581,1.0,301.53999999999996,0.005512521213327474
100.271,28.34,0.3578,2.0,301.48999999999995,0.005507903072126698
101.661,28.17,0.3523,3.0,301.32,0.005423237150112453
104.72,28.24,0.3351,4.0,301.39,0.005158463721267905
111.947,28.2,0.3051,5.0,301.34999999999997,0.004696649601190205
128.504,28.14,0.2613,6.0,301.28999999999996,0.004022400985876764
163.409,28.11,0.206,7.0,301.26,0.0031711236245335374
219.19,28.31,0.1503,8.0,301.46,0.002313688741589275
294.569,28.63,0.1048,9.0,301.78,0.0016132706594714308
354.416,28.94,0.0765,10.0,302.09,0.001177626006198134
420.391,29.38,0.0567,11.0,302.53,0.0008728286869468523
513.461,30.04,0.0372,12.0,303.19,0.0005726495088963475
614.069,31.21,0.0223,13.0,304.35999999999996,0.0003432818292577567
730.069,32.42,0.0087,14.0,305.57,0.0001339260948225329
734.829,33.64,0.0015,15.0,306.78999999999996,2.3090706003884983e-05
734.811,34.62,0.0016,16.0,307.77,2.463008640414398e-05
734.806,35.44,0.0024,17.0,308.59,3.694512960621597e-05
734.786,36.26,0.0023,18.0,309.40999999999997,3.540574920595697e-05
734.856,37.06,0.0024,19.0,310.21,3.694512960621597e-05
734.78,37.86,0.0027,20.0,311.01,4.156327080699297e-05
731.997,38.81,0.0025,21.0,311.96,3.848451000647497e-05
721.705,39.71,0.0028,22.0,312.85999999999996,4.310265120725196e-05
712.638,40.5,0.0025,23.0,313.65,3.848451000647497e-05
704.073,41.44,0.0026,24.0,314.59,4.002389040673397e-05
694.165,42.28,0.0027,25.0,315.42999999999995,4.156327080699297e-05
686.177,43.18,0.0027,26.0,316.33,4.156327080699297e-05
679.301,44.18,0.0028,27.0,317.33,4.310265120725196e-05
672.795,45.0,0.0027,28.0,318.15,4.156327080699297e-05
665.268,45.69,0.0027,29.0,318.84,4.156327080699297e-05
659.84,46.35,0.0026,30.0,319.5,4.002389040673397e-05
653.395,46.94,0.0027,31.0,320.09,4.156327080699297e-05
648.878,47.45,0.0027,32.0,320.59999999999997,4.156327080699297e-05
643.712,48.01,0.0026,33.0,321.15999999999997,4.002389040673397e-05
639.158,48.57,0.0024,34.0,321.71999999999997,3.694512960621597e-05
635.025,49.11,0.0023,35.0,322.26,3.540574920595697e-05
631.31,49.61,0.0023,36.0,322.76,3.540574920595697e-05
