Absolute Pressure (kPa) Run #5	Temperature (°C) Run #5	Position (m) Run #5
100,226	28,41	0,3585
100,250	28,39	0,3581
100,271	28,34	0,3578
101,661	28,17	0,3523
104,720	28,24	0,3351
111,947	28,20	0,3051
128,504	28,14	0,2613
163,409	28,11	0,2060
219,190	28,31	0,1503
294,569	28,63	0,1048
354,416	28,94	0,0765
420,391	29,38	0,0567
513,461	30,04	0,0372
614,069	31,21	0,0223
730,069	32,42	0,0087
734,829	33,64	0,0015
734,811	34,62	0,0016
734,806	35,44	0,0024
734,786	36,26	0,0023
734,856	37,06	0,0024
734,780	37,86	0,0027
731,997	38,81	0,0025
721,705	39,71	0,0028
712,638	40,50	0,0025
704,073	41,44	0,0026
694,165	42,28	0,0027
686,177	43,18	0,0027
679,301	44,18	0,0028
672,795	45,00	0,0027
665,268	45,69	0,0027
659,840	46,35	0,0026
653,395	46,94	0,0027
648,878	47,45	0,0027
643,712	48,01	0,0026
639,158	48,57	0,0024
635,025	49,11	0,0023
631,310	49,61	0,0023
