Pressure_kPa,Temperature_C,Position_m,Temperature_K,Volume
100.175,22.33,0.4382,295.47999999999996,0.006745564913934933
100.113,22.46,0.438,295.60999999999996,0.006742486153134415
100.442,22.36,0.4365,295.51,0.00671939544713053
101.467,22.45,0.4318,295.59999999999997,0.006647044568318357
100.689,22.35,0.4308,295.5,0.006631650764315767
100.222,22.3,0.4311,295.45,0.006636268905516544
100.461,22.34,0.4302,295.48999999999995,0.0066224144819142135
103.207,22.43,0.4204,295.58,0.0064715552026888305
102.627,22.45,0.4154,295.59999999999997,0.006394586182675881
101.921,22.46,0.4149,295.60999999999996,0.006386889280674586
101.669,22.48,0.4128,295.63,0.0063545622922691475
100.943,22.48,0.413,295.63,0.006357641053069665
101.085,22.39,0.4104,295.53999999999996,0.006317617162662931
101.78,22.44,0.4064,295.59,0.006256041946652571
101.931,22.41,0.4044,295.56,0.006225254338647391
102.378,22.4,0.4002,295.54999999999995,0.006160600361836513
102.566,22.5,0.3976,295.65,0.00612057647142978
102.688,22.49,0.3952,295.64,0.006083631341823563
103.281,22.47,0.3916,295.62,0.0060282136474142396
103.677,22.41,0.3889,295.56,0.005986650376607247
103.885,22.39,0.3858,295.53999999999996,0.0059389295841992176
104.118,22.48,0.3838,295.63,0.005908141976194037
104.518,22.52,0.3812,295.66999999999996,0.005868118085787303
104.726,22.4,0.3795,295.54999999999995,0.005841948618982901
104.843,22.42,0.3782,295.57,0.005821936673779534
104.763,22.56,0.3772,295.71,0.005806542869776944
104.675,22.4,0.3762,295.54999999999995,0.005791149065774354
104.963,22.43,0.375,295.58,0.005772676500971245
105.255,22.52,0.3736,295.66999999999996,0.005751125175367619
105.772,22.43,0.3719,295.58,0.005724955708563217
106.234,22.54,0.3701,295.69,0.005697246861358554
106.626,22.54,0.3688,295.69,0.005677234916155189
106.875,22.47,0.3672,295.62,0.005652604829751044
107.475,22.42,0.3659,295.57,0.005632592884547676
107.657,22.55,0.3645,295.7,0.005611041558944051
107.894,22.57,0.3638,295.71999999999997,0.005600265896142238
108.035,22.58,0.3629,295.72999999999996,0.005586411472539907
108.521,22.56,0.3616,295.71,0.005566399527336539
108.717,22.54,0.3603,295.69,0.005546387582133173
109.096,22.6,0.3588,295.75,0.0055232968761292885
109.605,22.46,0.3571,295.60999999999996,0.005497127409324884
110.373,22.5,0.3549,295.65,0.0054632610405191875
111.096,22.59,0.3524,295.73999999999995,0.005424776530512711
112.164,22.56,0.3501,295.71,0.0053893707813067555
112.756,22.65,0.348,295.79999999999995,0.0053570437929013155
113.295,22.64,0.3464,295.78999999999996,0.005332413706497172
114.014,22.57,0.3445,295.71999999999997,0.005303165478892251
114.649,22.66,0.3428,295.81,0.005276996012087847
115.166,22.61,0.3413,295.76,0.0052539053060839625
115.776,22.66,0.3397,295.81,0.005229275219679819
116.454,22.76,0.338,295.90999999999997,0.005203105752875417
117.075,22.72,0.3358,295.87,0.005169239384069718
117.937,22.7,0.3335,295.84999999999997,0.005133833634863761
119.113,22.65,0.331,295.79999999999995,0.005095349124857287
120.038,22.66,0.3286,295.81,0.00505840399525107
120.759,22.69,0.3266,295.84,0.00502761638724589
121.553,22.8,0.3251,295.95,0.005004525681242006
121.992,22.83,0.3236,295.97999999999996,0.00498143497523812
122.801,22.83,0.3216,295.97999999999996,0.004950647367232941
